model,dataset,sweep,mode,k,gamma,event_step,event_count,invalid_samples_mean,invalid_samples_std,invalid_samples_count,valid_samples_mean,valid_samples_std,valid_samples_count,excess_auc_mean,excess_auc_std,excess_auc_count,circular_phase_error_mean,circular_phase_error_std,circular_phase_error_count,delay_mse_mean,delay_mse_std,delay_mse_count,recovery_censored_rate_mean,recovery_censored_rate_std,recovery_censored_rate_count,phase_jump_mean,phase_jump_std,phase_jump_count,new_crossing_rate_mean,new_crossing_rate_std,new_crossing_rate_count,output_radius_mean,output_radius_std,output_radius_count,firing_rate_mean,firing_rate_std,firing_rate_count,forced_hit_rate_mean,forced_hit_rate_std,forced_hit_rate_count,recovery_time_mean,recovery_time_std,recovery_time_count,fast_state_delta_mean,fast_state_delta_std,fast_state_delta_count,slow_state_delta_mean,slow_state_delta_std,slow_state_delta_count
sprif,in_distribution,gamma_sweep,slow_reset,2,0.5,22,1,0.0,,1,4.0,,1,0.0,,1,1.5079467296600342,,1,0.6192048192024231,,1,0.0,,1,-0.5227518081665039,,1,1.0,,1,0.5298702716827393,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.0,,1,0.07502012699842453,,1
sprif,in_distribution,k_sweep,both_reset,1,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5080420970916748,,1,0.6125179529190063,,1,0.0,,1,-0.522331953048706,,1,1.0,,1,0.5157592296600342,,1,0.011363636702299118,,1,1.0,,1,0.0,,1,0.07500575482845306,,1,0.07500575482845306,,1
sprif,in_distribution,k_sweep,clean,1,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,-0.5215950012207031,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,k_sweep,fast_reset,1,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5080420970916748,,1,0.6125179529190063,,1,0.0,,1,-0.522331953048706,,1,1.0,,1,0.5157592296600342,,1,0.011363636702299118,,1,1.0,,1,0.0,,1,0.07500575482845306,,1,0.0,,1
sprif,in_distribution,k_sweep,forced_no_reset,1,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5080420970916748,,1,0.6125179529190063,,1,0.0,,1,-0.522331953048706,,1,1.0,,1,0.5157592296600342,,1,0.011363636702299118,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
sprif,in_distribution,k_sweep,slow_reset,1,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5080420970916748,,1,0.6125179529190063,,1,0.0,,1,-0.522331953048706,,1,1.0,,1,0.5157592296600342,,1,0.011363636702299118,,1,1.0,,1,0.0,,1,0.0,,1,0.07500575482845306,,1
sprif,in_distribution,main,both_reset,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.5018699169158936,,1,0.5940703749656677,,1,0.0,,1,1.2121315002441406,,1,1.0,,1,0.49144813418388367,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.15007047355175018,,1,0.15007047355175018,,1
sprif,in_distribution,main,both_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5079467296600342,,1,0.6192048192024231,,1,0.0,,1,-0.5227518081665039,,1,1.0,,1,0.5298702716827393,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.15004025399684906,,1,0.15004025399684906,,1
sprif,in_distribution,main,clean,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,1.2084485292434692,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,main,clean,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,-0.5215950012207031,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,main,fast_reset,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.5018699169158936,,1,0.5940703749656677,,1,0.0,,1,1.2121315002441406,,1,1.0,,1,0.49144813418388367,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.15007047355175018,,1,0.0,,1
sprif,in_distribution,main,fast_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5079467296600342,,1,0.6192048192024231,,1,0.0,,1,-0.5227518081665039,,1,1.0,,1,0.5298702716827393,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.15004025399684906,,1,0.0,,1
sprif,in_distribution,main,forced_no_reset,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.5018699169158936,,1,0.5940703749656677,,1,0.0,,1,1.2121315002441406,,1,1.0,,1,0.49144813418388367,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
sprif,in_distribution,main,forced_no_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5079467296600342,,1,0.6192048192024231,,1,0.0,,1,-0.5227518081665039,,1,1.0,,1,0.5298702716827393,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
sprif,in_distribution,main,slow_reset,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.5018699169158936,,1,0.5940703749656677,,1,0.0,,1,1.2121315002441406,,1,1.0,,1,0.49144813418388367,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.0,,1,0.15007047355175018,,1
sprif,in_distribution,main,slow_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5079467296600342,,1,0.6192048192024231,,1,0.0,,1,-0.5227518081665039,,1,1.0,,1,0.5298702716827393,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,0.0,,1,0.15004025399684906,,1
sprif,in_distribution,multi_event,both_reset,2,1.0,-1,0,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,0.0,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,both_reset,2,1.0,-1,1,0.0,,1,4.0,,1,0.0,,1,1.5066722631454468,,1,0.6062780618667603,,1,0.0,,1,0.9692881107330322,,1,1.0,,1,0.5088991522789001,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,both_reset,2,1.0,-1,2,0.0,,1,4.0,,1,0.0,,1,1.5116366147994995,,1,0.6229871511459351,,1,0.0,,1,-0.5759866833686829,,1,1.0,,1,0.5449035167694092,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,clean,2,1.0,-1,0,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,0.0,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,clean,2,1.0,-1,1,0.0,,1,4.0,,1,0.03381833806633949,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,0.9680352807044983,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,clean,2,1.0,-1,2,0.0,,1,4.0,,1,-0.07539834082126617,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,-0.564895749092102,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,fast_reset,2,1.0,-1,0,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,0.0,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,fast_reset,2,1.0,-1,1,0.0,,1,4.0,,1,0.0,,1,1.5066722631454468,,1,0.6062780618667603,,1,0.0,,1,0.9692881107330322,,1,1.0,,1,0.5088991522789001,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,fast_reset,2,1.0,-1,2,0.0,,1,4.0,,1,0.0,,1,1.5116366147994995,,1,0.6229871511459351,,1,0.0,,1,-0.5759866833686829,,1,1.0,,1,0.5449035167694092,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,forced_no_reset,2,1.0,-1,0,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,0.0,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,forced_no_reset,2,1.0,-1,1,0.0,,1,4.0,,1,0.0,,1,1.5066722631454468,,1,0.6062780618667603,,1,0.0,,1,0.9692881107330322,,1,1.0,,1,0.5088991522789001,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,forced_no_reset,2,1.0,-1,2,0.0,,1,4.0,,1,0.0,,1,1.5116366147994995,,1,0.6229871511459351,,1,0.0,,1,-0.5759866833686829,,1,1.0,,1,0.5449035167694092,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,slow_reset,2,1.0,-1,0,0.0,,1,4.0,,1,0.0,,1,1.5082095861434937,,1,0.6125987768173218,,1,0.0,,1,0.0,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,slow_reset,2,1.0,-1,1,0.0,,1,4.0,,1,0.0,,1,1.5066722631454468,,1,0.6062780618667603,,1,0.0,,1,0.9692881107330322,,1,1.0,,1,0.5088991522789001,,1,0.022727273404598236,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,in_distribution,multi_event,slow_reset,2,1.0,-1,2,0.0,,1,4.0,,1,0.0,,1,1.5116366147994995,,1,0.6229871511459351,,1,0.0,,1,-0.5759866833686829,,1,1.0,,1,0.5449035167694092,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
sprif,unseen_frequency,ood_frequency,both_reset,2,1.0,22,1,0.0,,1,4.0,,1,3.725290298461914e-08,,1,1.6630269289016724,,1,0.6735597848892212,,1,1.0,,1,0.06453812122344971,,1,1.0,,1,0.519819438457489,,1,0.022727273404598236,,1,1.0,,1,5.0,,1,0.15000754594802856,,1,0.15000754594802856,,1
sprif,unseen_frequency,ood_frequency,clean,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.6640278100967407,,1,0.6713701486587524,,1,0.0,,1,0.07463771104812622,,1,0.0,,1,0.5163339972496033,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
sprif,unseen_frequency,ood_frequency,fast_reset,2,1.0,22,1,0.0,,1,4.0,,1,3.725290298461914e-08,,1,1.6630269289016724,,1,0.6735597848892212,,1,1.0,,1,0.06453812122344971,,1,1.0,,1,0.519819438457489,,1,0.022727273404598236,,1,1.0,,1,5.0,,1,0.15000754594802856,,1,0.0,,1
sprif,unseen_frequency,ood_frequency,forced_no_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.6642380952835083,,1,0.6769106984138489,,1,0.0,,1,0.06453803181648254,,1,1.0,,1,0.5253148674964905,,1,0.034090910106897354,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
sprif,unseen_frequency,ood_frequency,slow_reset,2,1.0,22,1,0.0,,1,4.0,,1,3.725290298461914e-08,,1,1.6630269289016724,,1,0.6735597848892212,,1,1.0,,1,0.06453812122344971,,1,1.0,,1,0.519819438457489,,1,0.022727273404598236,,1,1.0,,1,5.0,,1,0.0,,1,0.15000754594802856,,1
